Ciudad;Partido;Habitantes;
Carhué[3];Adolfo Alsina;8.584;
Adolfo Gonzales Chaves;Adolfo Gonzales Chaves;8.613;
Alberti;Alberti;7.493;
Adrogué;Almirante Brown;28.265;
Burzaco;Almirante Brown;86.113;
Claypole;Almirante Brown;41.176;
Glew;Almirante Brown;57.878;
Longchamps;Almirante Brown;47.557;
Rafael Calzada;Almirante Brown;56.419;
Arrecifes;Arrecifes;24.336;
Avellaneda;Avellaneda;53.054;
Dock Sud;Avellaneda;35.897;
Sarandí;Avellaneda;60.752;
Wilde[17];Avellaneda;65.881;
Ayacucho;Ayacucho;16.444;
Azul;Azul;70.053;
Bahía Blanca;Bahía Blanca;258.243;
General Daniel Cerri;Bahía Blanca;5.789;
Balcarce;Balcarce;35.150;
Baradero;Baradero;24.901;
Benito Juárez;Benito Juárez;13.868;
Berazategui;Berazategui;89.522;
Hudson;Berazategui;43.769;
Bolívar;Bolívar;24.094;
Bragado;Bragado;32.830;
Eduardo O'Brien;Bragado;2.266;
Brandsen;Brandsen;16.732;
Campana;Campana;77.838;
Cañuelas;Cañuelas;24.380;
Capitán Sarmiento;Capitán Sarmiento;11.316;
Carlos Casares;Carlos Casares;17.155;
Carlos Tejedor;Carlos Tejedor;5.127;
Carmen de Areco;Carmen de Areco;12.008;
Castelli;Castelli;6.402;
Chacabuco;Chacabuco;34.958;
Rawson;Chacabuco;2.184;
Chivilcoy;Chivilcoy;51.596;
Colón;Colón;21.396;
Coronel Dorrego;Coronel Dorrego;11.644;
Coronel Pringles;Coronel Pringles;20.605;
Punta Alta;Coronel Rosales;57.296;
Coronel Suárez;Coronel Suárez;22.624;
Daireaux;Daireaux;10.932;
Dolores;Dolores;24.120;
Garín;Escobar;59.335;
Ingeniero Maschwitz;Escobar;12.462;
El Jagüel;Esteban Echeverría;48.781;
Luis Guillón;Esteban Echeverría;37.843;
Monte Grande;Esteban Echeverría;109.644;
Capilla del Señor;Exaltación de la Cruz;8.044;
Carlos Spegazzini;Ezeiza;18.220;
Ezeiza;Ezeiza;41.109;
La Unión;Ezeiza;24.293;
Tristán Suárez;Ezeiza;27.486;
Bosques;Florencio Varela;51.663;
Florencio Varela;Florencio Varela;120.678;
Florentino Ameghino;Florentino Ameghino;6.217;
Comandante Nicanor Otamendi;General Alvarado;5.977;
Miramar[6];General Alvarado;24.317;
General Alvear;General Alvear;9.548;
General Arenales;General Arenales;3.973;
General Belgrano;General Belgrano;13.516;
General Guido;General Guido;1.149;
General Juan Madariaga;General Juan Madariaga;16.763;
General Las Heras;General Las Heras;9.735;
General Lavalle;General Lavalle;1.472;
Ranchos;General Paz;7.333;
General Pinto;General Pinto;6.154;
Batán;General Pueyrredón;9.597;
Mar del Plata;General Pueyrredón;512.129;
General Rodríguez;General Rodríguez;63.317;
San Martín;General San Martín;28.399;
Villa Ballester;General San Martín;35.301;
Los Toldos;General Viamonte;13.462;
General Villegas;General Villegas;16.270;
Casbas;Guaminí;4.108;
Guaminí;Guaminí;2.704;
Henderson;Hipólito Yrigoyen;7.856;
Hurlingham;Hurlingham;60.165;
Villa Tesei;Hurlingham;63.164;
Ituzaingó;Ituzaingó;104.712;
José C. Paz;José C. Paz;230.208;
Junín;Junín;82.427;
Mar de Ajó;La Costa;13.769;
Mar del Tuyú;La Costa;6.916;
